player_id,short_name,primary_position,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed
232656,T. Hernández,LB,90.0,76.0,78.0,83.0,79.0,83.0,84,71,76,81,80,83,80,74,70,84,88,92,83,83,71,86,90,87,80,74,83,78,80,75,74,80,76,84,76,12,10,7,7,7,0.0
212198,Bruno Fernandes,CAM,67.0,83.0,89.0,83.0,65.0,75.0,85,80,63,90,87,82,85,85,90,87,68,66,78,90,73,86,69,95,61,85,84,63,86,92,91,85,62,71,66,12,14,15,8,14,0.0
246191,J. Alvarez,ST,85.0,87.0,81.0,87.0,57.0,79.0,77,88,78,83,84,87,87,80,78,88,86,85,87,88,87,88,86,85,72,86,86,52,88,83,78,86,60,55,46,6,10,8,15,6,0.0
231281,T. Alexander-Arnold,RB,76.0,72.0,89.0,80.0,80.0,74.0,93,64,69,87,71,79,91,85,91,85,72,79,73,85,72,85,75,89,68,76,70,84,79,88,66,82,78,82,79,14,15,14,6,7,0.0
244675,Sancet,CAM,76.0,83.0,80.0,85.0,70.0,82.0,75,85,82,84,79,85,82,63,80,85,74,77,84,84,79,83,88,86,80,81,80,71,85,84,77,85,67,70,60,15,11,6,15,7,0.0
210008,A. Rabiot,CAM,81.0,79.0,81.0,80.0,77.0,84.0,78,79,83,85,76,81,73,59,80,84,75,86,69,84,69,83,90,94,82,77,77,78,88,84,69,85,72,79,74,9,12,9,7,15,0.0
212616,R. De Paul,CM,75.0,78.0,83.0,83.0,76.0,83.0,78,75,58,85,71,84,84,76,84,85,74,76,77,81,78,82,76,88,79,83,86,80,79,85,66,81,76,80,75,13,12,10,7,14,0.0
241096,S. Tonali,CDM,79.0,74.0,82.0,80.0,81.0,83.0,78,69,70,86,68,78,75,81,83,85,78,79,76,84,77,85,83,83,82,77,84,84,76,79,64,84,81,84,81,13,9,8,7,7,0.0
226161,Marcos Llorente,RB,89.0,79.0,78.0,81.0,78.0,82.0,76,80,67,81,66,81,78,63,80,82,87,91,83,81,74,84,84,92,77,79,80,80,79,79,65,79,77,82,74,13,6,6,11,15,0.0
209658,L. Goretzka,CM,77.0,78.0,80.0,80.0,80.0,82.0,74,76,84,85,74,80,76,70,84,82,72,81,74,85,71,83,84,69,87,82,83,85,84,79,60,82,75,83,75,13,8,15,11,9,0.0
255253,Vitinha,CM,72.0,80.0,86.0,90.0,75.0,70.0,78,80,52,90,62,91,81,69,89,88,75,69,91,88,89,77,66,87,59,84,77,85,81,90,88,88,74,79,69,12,13,8,5,5,0.0
209331,M. Salah,RM,89.0,88.0,86.0,90.0,45.0,76.0,86,94,59,88,83,90,88,69,81,90,88,89,86,94,91,83,79,88,75,78,63,55,93,89,88,93,38,43,41,14,14,9,11,14,0.0
204923,M. Sabitzer,CDM,74.0,80.0,80.0,80.0,76.0,76.0,77,76,62,82,83,78,77,78,80,82,76,72,77,83,78,87,71,78,75,83,79,80,78,79,80,83,79,75,77,11,13,14,15,13,0.0
234378,D. Rice,CDM,72.0,73.0,84.0,80.0,83.0,83.0,88,64,72,86,50,82,86,75,86,84,71,73,63,85,65,87,80,92,78,83,85,86,77,79,71,86,81,86,85,8,11,14,5,9,0.0
210514,João Cancelo,RB,83.0,73.0,84.0,84.0,78.0,74.0,86,69,72,86,62,85,87,69,79,86,88,78,79,84,78,80,82,88,65,79,76,79,81,85,52,85,75,81,77,6,9,15,14,14,0.0
228702,F. de Jong,CM,82.0,71.0,85.0,87.0,78.0,77.0,78,75,72,90,70,86,84,64,87,88,80,83,87,87,79,68,82,87,73,69,74,82,78,88,53,90,76,78,77,7,13,10,10,9,0.0
240638,T. Reijnders,CM,79.0,79.0,82.0,85.0,77.0,77.0,73,78,61,87,65,84,77,70,84,88,83,75,82,85,79,85,77,92,69,83,80,80,86,84,59,84,78,80,72,6,10,9,14,9,0.0
236772,D. Szoboszlai,CAM,79.0,82.0,84.0,82.0,67.0,76.0,83,79,65,85,81,83,87,83,83,84,76,81,78,83,68,89,76,89,69,79,75,67,83,83,83,82,65,72,63,10,10,13,10,6,0.0
233419,Raphinha,LM,91.0,84.0,85.0,87.0,53.0,75.0,86,87,74,85,72,88,85,79,80,88,90,91,88,87,79,83,82,91,65,82,77,56,89,87,78,85,49,54,38,8,7,13,8,14,0.0
246669,B. Saka,RW,84.0,82.0,85.0,88.0,60.0,73.0,90,84,49,85,79,89,88,74,77,88,87,81,85,88,88,79,72,86,68,81,68,62,86,86,87,82,60,62,60,7,8,13,9,13,0.0
223848,S. Milinković-Savić,CM,62.0,80.0,81.0,81.0,78.0,88.0,71,81,86,82,74,84,81,83,86,87,60,64,58,80,62,82,88,92,90,80,79,76,83,84,64,84,77,76,80,7,10,7,16,7,0.0
251854,Pedri,CM,77.0,73.0,85.0,91.0,78.0,77.0,76,77,50,90,56,91,79,62,88,91,79,76,89,87,92,68,72,90,73,76,72,87,86,91,53,90,74,85,79,12,7,11,8,8,0.0
247851,Bruno Guimarães,CM,66.0,75.0,84.0,84.0,79.0,81.0,76,73,66,88,65,86,83,63,88,86,66,66,73,85,79,76,75,90,76,82,86,82,77,86,65,88,78,82,81,7,11,15,11,11,0.0
231443,O. Dembélé,ST,91.0,88.0,83.0,93.0,50.0,69.0,80,90,74,89,79,94,85,68,78,94,93,89,94,91,81,91,84,76,69,85,58,45,95,84,80,88,49,49,39,6,6,14,10,13,0.0
272834,João Neves,CM,74.0,71.0,80.0,84.0,82.0,83.0,67,69,72,86,75,83,74,53,86,86,77,71,84,83,86,78,83,92,78,68,84,84,77,84,60,85,83,83,80,8,7,5,13,13,0.0
246104,R. Gravenberch,CDM,76.0,76.0,81.0,85.0,81.0,81.0,74,78,67,86,71,88,76,70,82,87,76,76,76,84,70,79,81,85,80,76,76,88,75,81,58,88,80,82,78,12,8,6,11,12,0.0
231478,L. Martínez,ST,81.0,88.0,75.0,84.0,51.0,83.0,68,93,86,78,92,81,84,65,72,84,83,80,88,92,87,87,91,86,80,80,87,48,93,79,74,88,45,50,45,11,8,8,8,13,0.0
192883,H. Mkhitaryan,CM,77.0,78.0,82.0,83.0,72.0,75.0,76,78,68,85,79,82,83,69,82,86,79,75,81,83,80,81,77,84,67,76,82,75,83,84,72,85,71,74,70,5,11,14,5,7,0.0
192985,K. De Bruyne,CM,66.0,83.0,92.0,84.0,65.0,72.0,93,78,55,92,81,85,93,83,93,89,65,66,68,89,66,90,70,66,74,87,73,65,81,92,83,87,65,70,55,15,13,5,10,13,0.0
240679,T. Koopmeiners,CAM,70.0,79.0,83.0,78.0,75.0,75.0,79,76,72,85,72,76,74,80,84,83,71,70,69,82,69,82,79,83,71,84,72,78,80,84,85,81,76,74,72,14,8,14,12,10,0.0
247635,K. Kvaratskhelia,LW,86.0,80.0,83.0,88.0,58.0,78.0,79,81,62,87,64,89,86,74,78,88,85,86,86,84,84,78,87,83,76,86,73,58,87,85,70,84,53,62,52,9,15,8,14,8,0.0
210035,Grimaldo,LM,72.0,73.0,87.0,85.0,74.0,67.0,91,67,62,86,63,84,89,89,86,86,76,68,84,85,86,84,68,91,54,83,69,79,78,85,54,83,76,75,69,7,13,10,7,13,0.0
238074,R. James,RB,76.0,71.0,82.0,77.0,81.0,81.0,88,67,75,81,67,78,83,81,80,79,75,76,66,80,71,85,87,67,86,70,83,80,74,78,65,82,82,82,80,8,12,7,13,11,0.0
208574,F. Kostić,LM,82.0,76.0,81.0,80.0,70.0,77.0,87,71,59,80,75,81,85,80,79,81,79,84,76,77,78,85,78,78,77,78,76,69,78,78,66,82,70,74,72,13,14,12,12,13,0.0
238216,C. Gallagher,CM,75.0,76.0,80.0,78.0,79.0,84.0,75,74,66,83,70,78,73,73,81,80,72,77,73,82,72,81,79,93,78,77,87,80,82,80,63,81,79,81,79,7,6,15,9,9,0.0
225193,Mikel Merino,CM,63.0,79.0,80.0,80.0,81.0,80.0,77,80,87,84,58,82,80,69,80,84,64,63,63,84,63,85,85,82,78,76,83,83,81,80,70,81,78,82,76,9,12,9,13,14,0.0
247090,E. Fernández,CM,68.0,75.0,85.0,81.0,73.0,75.0,79,72,71,88,77,80,84,76,89,85,68,68,75,86,78,82,74,85,67,76,83,74,78,86,73,82,72,75,72,8,6,7,8,10,0.0
209297,Fred,CM,77.0,71.0,78.0,82.0,76.0,75.0,75,67,56,80,68,80,79,74,78,81,79,75,89,84,88,79,73,83,68,74,85,82,79,79,64,76,75,80,74,7,16,15,11,15,0.0
197445,D. Alaba,CB,68.0,71.0,82.0,79.0,82.0,75.0,83,62,75,86,67,77,76,85,80,83,64,72,71,83,77,82,79,72,77,78,73,83,71,78,79,84,84,83,80,5,7,14,15,9,0.0
226754,I. Bennacer,CDM,76.0,72.0,80.0,83.0,76.0,74.0,78,67,62,84,64,83,79,75,82,82,79,73,86,80,84,82,76,78,69,74,83,76,71,77,72,83,75,81,76,9,12,10,16,15,0.0
263205,B. Yılmaz,LM,93.0,77.0,72.0,79.0,69.0,90.0,71,76,70,75,77,77,71,50,69,79,92,93,85,80,81,86,92,93,90,74,86,67,81,78,58,72,71,68,64,13,9,11,13,8,0.0
243576,Pedro Porro,RB,78.0,73.0,81.0,80.0,77.0,76.0,87,68,69,80,64,80,85,78,78,81,78,78,80,80,71,84,77,91,68,75,75,78,76,80,66,79,76,79,77,15,7,14,5,7,0.0
231747,K. Mbappé,ST,97.0,90.0,81.0,92.0,37.0,76.0,78,92,78,87,87,92,80,69,74,93,97,97,93,91,82,91,90,83,77,86,61,38,91,83,82,88,26,34,32,13,5,7,11,6,0.0
222665,M. Ødegaard,CM,68.0,79.0,88.0,87.0,67.0,65.0,86,79,55,90,79,87,84,82,88,88,68,68,85,88,83,82,63,88,55,80,64,69,78,90,68,87,68,72,57,14,15,15,8,10,0.0
210411,Otávio,CAM,78.0,71.0,82.0,85.0,70.0,75.0,79,71,65,83,69,86,80,72,82,85,81,76,85,84,83,73,76,86,65,68,87,66,80,85,72,81,69,76,65,11,12,9,10,15,0.0
243245,O. Kökçü,CM,72.0,80.0,84.0,80.0,70.0,79.0,81,78,41,84,72,78,82,82,85,83,75,69,79,80,77,83,67,88,75,85,82,74,80,85,81,81,73,74,69,9,6,10,6,12,0.0
224334,M. Acuña,LB,76.0,69.0,77.0,81.0,71.0,80.0,84,63,75,75,66,81,85,74,72,82,79,74,80,77,87,74,88,80,81,72,73,74,80,78,75,77,65,74,73,8,14,13,13,14,0.0
237238,S. McTominay,CM,76.0,82.0,77.0,80.0,80.0,85.0,66,84,81,84,76,84,69,60,81,85,70,80,55,86,48,86,86,92,82,81,84,81,87,79,60,80,78,81,75,9,6,6,10,11,0.0
202126,H. Kane,ST,64.0,92.0,83.0,82.0,48.0,82.0,80,93,90,86,89,80,82,69,79,87,62,66,67,94,72,91,87,76,86,89,80,42,94,86,93,92,46,44,38,8,10,11,14,11,0.0
248243,E. Camavinga,CM,80.0,68.0,81.0,84.0,78.0,80.0,77,64,64,86,59,84,74,59,84,86,81,80,82,82,81,75,82,84,79,70,79,82,73,83,62,84,76,82,81,12,6,8,12,12,0.0
224293,Rúben Neves,CDM,57.0,75.0,87.0,77.0,77.0,76.0,85,66,57,88,82,74,84,81,88,84,58,57,64,85,73,86,68,80,74,83,76,79,62,87,84,88,81,79,79,16,12,10,8,10,0.0
246863,F. Nmecha,CDM,82.0,74.0,73.0,81.0,80.0,86.0,59,73,83,80,66,83,72,49,80,82,77,86,77,80,76,81,94,78,90,73,82,79,76,77,55,79,78,83,80,6,10,12,13,8,0.0
258648,Carlos Augusto,LB,78.0,72.0,77.0,79.0,79.0,76.0,79,68,76,78,73,80,77,74,74,80,79,78,79,81,72,79,85,80,72,77,80,79,79,76,52,78,79,80,79,11,12,5,12,13,0.0
210881,J. McGinn,LM,69.0,77.0,78.0,80.0,77.0,83.0,76,76,57,81,75,81,76,61,80,80,69,69,77,81,85,84,74,92,79,77,86,79,77,79,55,77,79,82,75,9,13,12,10,12,0.0
225201,Berenguer,LM,84.0,77.0,79.0,84.0,65.0,69.0,81,79,73,80,70,84,82,80,73,83,85,84,87,79,88,78,79,80,59,72,76,65,82,77,72,83,65,65,61,14,16,8,6,13,0.0
208333,E. Can,CB,77.0,76.0,72.0,74.0,82.0,84.0,63,71,82,77,69,73,77,64,74,75,67,85,65,79,72,85,81,76,86,78,91,78,70,69,85,83,79,86,85,14,8,8,13,11,0.0
228251,L. Pellegrini,CAM,75.0,77.0,80.0,80.0,73.0,73.0,74,76,74,84,74,78,74,79,80,84,76,74,79,79,72,79,81,77,70,76,74,69,77,83,80,78,73,74,72,12,7,10,13,11,0.0
240950,Pedro Gonçalves,CAM,77.0,82.0,83.0,84.0,63.0,68.0,83,84,59,85,79,84,82,81,80,84,79,76,82,83,78,78,72,81,62,83,64,71,85,84,82,85,63,65,48,15,11,15,7,8,0.0
223334,Joelinton,CM,74.0,73.0,77.0,81.0,82.0,90.0,73,75,82,84,60,83,62,38,79,83,69,78,68,85,66,84,90,89,90,63,91,84,79,80,61,83,79,84,77,9,13,8,13,13,0.0
252145,Nuno Mendes,LB,95.0,65.0,76.0,82.0,80.0,77.0,81,61,73,80,54,81,77,59,72,82,94,95,87,83,84,80,87,83,73,64,75,79,77,72,45,82,77,86,81,7,8,8,12,15,0.0
188545,R. Lewandowski,ST,74.0,89.0,79.0,85.0,44.0,84.0,76,92,87,84,86,84,79,84,70,88,73,74,77,89,83,89,91,76,89,82,81,49,90,81,90,87,35,42,19,15,6,12,8,10,0.0
247246,K. Thuram,CM,78.0,76.0,77.0,80.0,81.0,81.0,72,77,76,83,65,81,72,56,80,83,76,80,75,79,65,79,87,81,79,75,84,81,78,78,60,82,80,84,75,7,9,14,11,9,0.0
181458,I. Perišić,RW,75.0,80.0,81.0,79.0,69.0,75.0,84,78,77,82,85,78,82,75,77,83,74,76,73,80,70,85,84,76,75,79,69,69,84,79,77,84,68,69,65,6,7,10,9,6,0.0
243014,B. Mbeumo,RW,88.0,84.0,79.0,84.0,49.0,76.0,84,87,63,80,85,83,84,72,69,84,90,87,90,81,85,83,81,85,71,77,74,52,84,80,85,83,53,41,37,7,14,15,13,14,0.0
216393,Y. Tielemans,CM,54.0,79.0,85.0,80.0,75.0,72.0,80,77,70,87,83,79,84,78,88,86,51,57,62,85,77,85,68,87,69,76,64,75,77,87,75,88,74,77,80,6,8,10,14,12,0.0
195479,J. Tavernier,RB,80.0,71.0,78.0,75.0,69.0,79.0,82,64,66,76,76,73,82,84,78,75,77,83,75,74,83,78,81,88,78,72,69,71,75,77,85,76,67,71,69,15,13,8,11,12,0.0
256790,J. Musiala,CAM,80.0,82.0,80.0,90.0,66.0,65.0,70,86,75,87,75,94,75,59,79,85,85,75,94,89,93,80,80,73,61,82,59,65,88,84,61,83,64,66,61,6,9,8,8,11,0.0
239231,Marc Cucurella,LB,75.0,64.0,79.0,80.0,82.0,79.0,81,61,72,82,55,78,79,63,79,80,77,74,82,84,83,73,86,89,70,63,85,82,76,77,57,79,83,84,82,13,7,9,10,11,0.0
223959,L. Torreira,CDM,76.0,72.0,78.0,79.0,81.0,79.0,72,71,62,83,68,76,70,72,79,81,80,73,82,84,83,80,76,92,69,74,88,83,76,79,48,84,84,82,81,5,5,13,7,9,0.0
212811,M. Lemina,CDM,79.0,67.0,75.0,76.0,78.0,83.0,71,59,80,78,66,76,77,66,78,76,76,81,77,79,75,80,91,83,83,73,82,79,68,75,68,80,77,77,75,12,9,15,8,16,0.0
177003,L. Modrić,CM,68.0,74.0,86.0,86.0,70.0,62.0,86,68,55,87,76,84,85,78,86,88,72,65,89,79,90,79,66,69,58,80,60,75,76,88,83,91,70,70,72,13,9,7,14,9,0.0
230938,F. Kessié,CDM,78.0,77.0,73.0,78.0,78.0,86.0,66,75,68,80,60,77,61,54,73,80,77,79,70,77,77,84,85,92,87,78,78,79,76,74,88,83,80,80,76,9,11,12,12,10,0.0
226226,G. Lo Celso,CAM,68.0,81.0,82.0,84.0,68.0,71.0,81,82,62,82,73,85,82,81,82,85,67,68,79,80,80,83,71,67,69,83,82,70,81,84,65,82,64,73,68,10,7,10,15,14,0.0
231913,F. Aursnes,CM,74.0,71.0,78.0,80.0,77.0,82.0,76,71,68,80,59,78,72,63,79,82,73,75,80,83,80,74,80,92,78,68,80,78,79,79,66,82,78,78,75,12,14,14,8,13,0.0
247394,D. Kulusevski,CM,74.0,79.0,84.0,85.0,62.0,81.0,84,82,52,86,83,88,86,68,78,86,77,72,77,87,72,78,75,91,80,74,74,65,83,86,70,85,62,66,58,14,5,10,10,5,0.0
218667,Bernardo Silva,CM,61.0,78.0,83.0,89.0,71.0,65.0,82,78,54,86,78,88,84,67,82,88,68,55,93,87,92,79,58,90,47,79,78,73,80,85,64,86,70,76,68,9,10,14,12,9,0.0
256630,F. Wirtz,CAM,80.0,82.0,88.0,90.0,54.0,67.0,87,84,43,91,81,90,83,74,87,92,82,79,88,88,87,78,65,87,59,84,63,55,85,91,66,86,64,49,44,14,14,13,6,10,0.0
238744,W. McKennie,CM,77.0,71.0,77.0,77.0,80.0,80.0,78,68,86,78,77,78,77,63,77,78,75,78,68,77,69,76,91,81,77,73,82,78,78,76,61,78,78,82,75,7,9,12,9,11,0.0
213666,R. Loftus-Cheek,CM,81.0,76.0,79.0,80.0,76.0,80.0,75,76,85,84,60,81,70,57,80,83,78,84,75,79,60,82,94,72,85,75,75,76,83,79,56,82,75,76,70,11,7,12,15,13,0.0
202648,Sergi Darder,LM,77.0,76.0,81.0,80.0,73.0,77.0,74,75,60,84,74,81,81,72,82,80,78,77,79,79,76,81,78,82,75,75,74,74,78,83,60,84,74,76,74,8,9,9,8,12,0.0
219683,C. Tolisso,CM,68.0,78.0,78.0,76.0,77.0,79.0,67,74,80,82,75,75,72,67,83,80,64,72,62,82,70,86,83,82,78,82,75,79,82,80,67,79,74,79,75,7,10,14,9,14,0.0
216352,M. Brozović,CDM,63.0,73.0,78.0,79.0,78.0,80.0,73,68,70,81,65,77,79,74,80,82,62,64,79,75,84,80,73,93,72,83,85,79,65,79,69,82,75,83,81,8,8,15,11,8,0.0
251479,M. De Cuyper,LB,76.0,73.0,80.0,79.0,75.0,75.0,85,70,65,78,68,78,78,73,79,80,78,75,79,77,78,78,76,87,67,74,79,75,75,81,78,82,76,76,75,11,8,7,7,8,0.0
251806,Q. Timber,CM,77.0,78.0,76.0,80.0,74.0,83.0,67,75,65,82,65,79,72,58,78,81,86,69,81,82,82,85,87,79,85,83,80,78,78,78,60,79,74,76,70,5,8,12,11,8,0.0
211093,C. McGregor,CDM,77.0,76.0,78.0,80.0,72.0,78.0,68,74,54,84,75,76,75,61,79,83,80,75,83,80,86,80,72,93,69,79,81,71,78,80,66,83,76,74,72,15,10,8,8,13,0.0
236499,Douglas Luiz,CM,67.0,75.0,82.0,80.0,75.0,70.0,81,70,62,81,77,79,80,80,81,84,69,66,74,77,78,79,70,75,65,82,77,76,76,84,81,84,76,78,72,12,6,13,10,7,0.0
215590,Ayoze,ST,86.0,83.0,80.0,83.0,59.0,67.0,80,86,81,84,80,84,76,60,75,83,87,86,80,83,81,81,85,70,60,81,76,49,86,82,78,81,61,61,42,12,12,11,14,8,0.0
234396,A. Davies,LB,94.0,66.0,78.0,85.0,74.0,76.0,85,64,74,84,59,85,72,44,71,85,95,93,84,86,83,74,95,79,75,63,72,79,77,77,54,78,72,74,73,11,11,6,5,14,0.0
239807,D. Frattesi,CM,82.0,77.0,78.0,82.0,73.0,72.0,67,79,71,84,71,82,71,65,79,83,84,80,78,83,75,76,81,80,64,74,79,74,85,83,64,81,70,77,72,5,10,8,11,10,0.0
227890,Nuno Santos,LM,79.0,81.0,76.0,79.0,69.0,73.0,79,79,59,75,84,80,79,78,73,80,81,78,76,78,71,86,75,77,69,81,79,70,80,76,71,74,73,70,64,14,7,8,9,15,0.0
236496,M. Guendouzi,CDM,72.0,73.0,80.0,80.0,77.0,77.0,71,73,69,85,64,78,75,67,81,84,69,74,83,81,71,75,73,90,67,75,86,80,74,83,70,82,76,79,72,6,13,6,13,11,0.0
256079,M. Caicedo,CDM,71.0,64.0,78.0,81.0,84.0,82.0,65,57,70,85,60,79,73,55,84,83,76,66,80,84,79,75,80,90,77,72,85,87,63,79,55,83,83,86,87,15,6,13,9,13,0.0
251517,J. Gvardiol,LB,78.0,71.0,75.0,78.0,84.0,82.0,73,68,80,81,60,78,74,59,76,80,77,79,68,85,67,81,88,81,80,74,86,84,69,70,61,81,84,85,84,5,8,6,9,11,0.0
227236,A. Zambo Anguissa,CM,75.0,75.0,75.0,79.0,79.0,85.0,62,76,76,83,58,79,59,56,80,82,74,76,74,84,71,75,87,89,82,78,85,80,82,80,60,80,79,80,74,11,11,9,8,11,0.0
186345,K. Trippier,RB,66.0,65.0,83.0,77.0,80.0,71.0,89,54,79,80,58,76,87,87,83,79,68,64,67,81,79,81,78,74,66,71,76,80,74,81,66,80,80,80,79,11,14,8,11,10,0.0
233927,Lucas Paquetá,CM,68.0,78.0,78.0,84.0,69.0,75.0,74,78,68,80,74,86,77,74,80,85,69,67,75,79,76,77,75,76,73,77,78,71,77,80,82,86,67,73,63,14,9,12,11,11,0.0
270571,Gabriel Sara,CM,74.0,74.0,83.0,79.0,68.0,78.0,82,73,68,83,67,79,84,81,84,81,75,74,77,80,76,83,79,81,75,75,79,65,77,83,50,80,69,70,65,14,14,10,6,9,0.0
244669,M. Hjulmand,CDM,70.0,76.0,78.0,77.0,80.0,84.0,72,76,68,81,62,76,70,61,80,80,69,71,70,81,74,82,79,91,81,80,83,83,78,82,54,82,79,82,78,11,6,10,11,6,0.0
232665,M. Arambarri,CM,65.0,79.0,76.0,77.0,79.0,79.0,64,82,62,81,62,78,77,71,78,79,75,57,67,79,77,83,78,84,76,79,82,80,80,79,61,74,82,80,79,7,13,13,15,7,0.0
246321,D. Maeda,LW,92.0,79.0,70.0,76.0,65.0,79.0,69,82,77,74,79,73,75,57,57,71,94,91,92,85,88,78,88,95,67,75,85,62,84,76,64,76,65,64,59,5,9,5,9,12,0.0
239085,E. Haaland,ST,86.0,91.0,70.0,80.0,45.0,88.0,58,94,83,77,90,79,77,62,66,82,79,92,71,93,69,94,92,76,93,83,88,43,95,74,90,86,38,47,29,7,14,13,11,7,0.0
226851,B. Pavard,CB,75.0,67.0,76.0,75.0,86.0,79.0,76,60,84,83,81,71,67,51,81,79,74,76,71,86,66,80,87,80,76,70,81,86,68,69,51,83,85,89,84,9,7,15,7,15,0.0
254243,E. Anderson,CDM,71.0,68.0,79.0,81.0,77.0,78.0,79,66,76,82,63,82,79,67,79,81,75,68,76,80,84,74,84,86,73,64,77,78,76,79,65,80,75,79,77,6,12,5,10,7,0.0
181291,G. Wijnaldum,CAM,67.0,72.0,77.0,80.0,76.0,75.0,70,70,77,82,67,77,77,68,75,82,67,67,80,81,87,73,81,76,74,74,75,77,81,77,74,80,75,77,68,16,6,14,12,6,0.0
192638,Marcos Alonso,CB,57.0,74.0,80.0,74.0,80.0,77.0,83,70,79,82,76,76,84,83,76,77,58,56,63,79,56,82,80,74,76,75,80,81,77,76,75,79,80,80,79,9,7,13,9,12,0.0
228813,Aleix García,CM,65.0,75.0,85.0,84.0,75.0,66.0,83,75,51,85,66,84,84,80,88,87,67,64,79,82,85,78,65,68,65,78,65,77,80,86,60,84,79,77,74,16,8,9,10,7,0.0
257279,Álex Baena,LM,79.0,76.0,84.0,82.0,65.0,68.0,85,77,58,87,69,83,78,80,82,84,79,79,80,82,76,77,71,78,60,76,76,66,82,84,68,74,67,66,64,6,11,8,12,11,0.0
256853,M. Tillman,CAM,84.0,76.0,77.0,83.0,65.0,77.0,69,75,73,80,60,83,82,75,75,84,83,84,83,81,82,77,88,76,82,84,62,66,78,79,60,78,60,67,59,9,11,11,12,9,0.0
231521,E. Palacios,CM,62.0,76.0,80.0,82.0,81.0,71.0,70,74,67,86,63,82,73,54,84,84,72,53,78,85,79,81,74,68,67,79,84,86,79,83,72,83,80,84,80,10,5,8,9,6,0.0
251377,R. Zalazar,CAM,80.0,81.0,79.0,78.0,67.0,74.0,74,80,54,80,70,75,83,76,81,81,77,82,85,75,77,88,71,84,68,84,79,72,78,80,67,78,67,69,62,7,7,9,5,12,0.0
204963,Carvajal,RB,80.0,58.0,79.0,81.0,81.0,79.0,84,56,76,84,53,78,77,47,74,84,81,80,78,83,84,68,85,84,74,52,85,81,75,78,45,83,80,84,83,13,13,15,9,15,0.0
